FL_DATE,AIRLINE,airline_name,ORIGIN,DEST,ARR_DELAY,CANCELLED,DAY_OF_WEEK
2021-10-09,SkyWest Airlines Inc.,SkyWest Airlines,PHX,DRO,-6.0,0.0,Saturday
2022-08-15,Southwest Airlines Co.,Southwest Airlines,SYR,BWI,37.0,0.0,Monday
2022-06-02,Spirit Air Lines,Spirit Airlines,DFW,PNS,112.0,0.0,Thursday
2019-07-16,Endeavor Air Inc.,,DTW,MDT,-7.0,0.0,Tuesday
2019-11-18,American Airlines Inc.,American Airlines,OKC,DFW,-16.0,0.0,Monday
2020-08-18,SkyWest Airlines Inc.,SkyWest Airlines,DEN,ABQ,-11.0,0.0,Tuesday
2019-12-30,SkyWest Airlines Inc.,SkyWest Airlines,PRC,DEN,71.0,0.0,Monday
2021-04-30,Horizon Air,,PDX,RDM,-4.0,0.0,Friday
2021-07-17,Horizon Air,,GEG,SEA,1.0,0.0,Saturday
2019-10-23,Envoy Air,,DFW,TYR,-11.0,0.0,Wednesday
2019-03-25,Envoy Air,,ABI,DFW,-14.0,0.0,Monday
2022-05-21,Republic Airline,,LGA,DCA,-9.0,0.0,Saturday
2022-08-25,SkyWest Airlines Inc.,SkyWest Airlines,MTJ,DEN,55.0,0.0,Thursday
2023-07-09,SkyWest Airlines Inc.,SkyWest Airlines,LAX,BOI,-3.0,0.0,Sunday
2020-03-07,SkyWest Airlines Inc.,SkyWest Airlines,SAT,MSP,-12.0,0.0,Saturday
2019-09-08,United Air Lines Inc.,United Airlines,IAD,RDU,-16.0,0.0,Sunday
2022-11-29,Spirit Air Lines,Spirit Airlines,BQN,MCO,66.0,0.0,Tuesday
2020-03-15,Frontier Airlines Inc.,Frontier Airlines,DEN,DCA,26.0,0.0,Sunday
2019-01-20,Southwest Airlines Co.,Southwest Airlines,TPA,PHX,-14.0,0.0,Sunday
2021-06-05,Southwest Airlines Co.,Southwest Airlines,OAK,DEN,-11.0,0.0,Saturday
2021-11-21,American Airlines Inc.,American Airlines,PHX,OMA,-8.0,0.0,Sunday
2023-08-11,Southwest Airlines Co.,Southwest Airlines,BWI,MSY,20.0,0.0,Friday
